Plate	Position (x)	Position (y)	Absorption (dimensionless) at 418 nm	Absorption (dimensionless) at 480 nm	Absorption difference	Calculated glucose in mg/l	Dilution factor	Glucose concentration in mg/l (undiluted)
IS1r2rez	7	F	0.0591	0.0479	0.0112	-0.4171176548	100	0
IS1r2rez	8	F	0.0604	0.0429	0.0175	-0.187552516	100	0
IS1r2rez	9	F	0.0702	0.0591	0.0110	-0.4240191795	100	0
IS1r2rez	10	F	2.0483	0.1609	1.8873	68.1616317438	100	6816
IS1r2rez	11	F	0.0557	0.0427	0.0130	-0.3524470857	100	0
IS1r2rez	12	F	2.2758	0.1775	2.0982	75.8711981939	100	7587
IS1r2rez	1	G	0.0609	0.0537	0.0072	-0.5635270649	100	0
IS1r2rez	2	G	0.0560	0.0420	0.0140	-0.3170153826	100	0
IS1r2rez	3	G	2.6202	0.1949	2.4254	87.8290200443	100	8783
IS1r2rez	4	G	0.0726	0.0623	0.0102	-0.4529061407	100	0
IS1r2rez	5	G	2.5500	0.1916	2.3585	85.3846367525	100	8538
IS1r2rez	6	G	0.0479	0.0411	0.0068	-0.5790456645	100	0
IS1r2rez	7	G	2.0273	0.1610	1.8663	67.3921764408	100	6739
IS1r2rez	8	G	0.0610	0.0434	0.0177	-0.1815368225	100	0
IS1r2rez	9	G	0.2568	0.0546	0.2022	6.5643792969	100	656
IS1r2rez	10	G	0.0553	0.0429	0.0124	-0.3744699489	100	0
IS1r2rez	11	G	2.0081	0.1582	1.8498	66.7906011477	100	6679
IS1r2rez	12	G	0.0527	0.0439	0.0088	-0.5063467304	100	0
IS1r2rez	1	H	0.0554	0.0444	0.0109	-0.428183671	100	0
IS1r2rez	2	H	0.0557	0.0441	0.0116	-0.4047608958	100	0
IS1r2rez	3	H	0.0541	0.0426	0.0114	-0.4094362074	100	0
IS1r2rez	4	H	0.0533	0.0420	0.0113	-0.4125169074	100	0
IS1r2rez	5	H	0.0531	0.0431	0.0099	-0.4640426117	100	0
IS1r2rez	6	H	0.1039	0.0493	0.0546	1.1694742435	100	117
IS1r2rez	7	H	0.0522	0.0445	0.0077	-0.5464462139	100	0
IS1r2rez	8	H	0.1259	0.1066	0.0193	-0.1225541486	100	0
IS1r2rez	9	H	3.0258	0.2290	2.7969	101.4090728197	100	10141
IS1r2rez	10	H	3.1669	0.2406	2.9263	106.1394871945	100	10614
IS1r2rez	11	H	2.7644	0.2039	2.5605	92.7675352436	100	9277
IS1r2rez	12	H	3.1669	0.2404	2.9265	106.1478373714	100	10615

